timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,RSI,SMA,EMA,Real Lower Band,Real Middle Band,Real Upper Band
2019-10-11,182.1500,186.4900,182.1400,184.1900,184.1900,13937734,0.0000,1.0000,53.4073,183.8532,180.7327,172.7696,182.0220,191.2744
2019-10-10,180.3200,181.6100,179.1700,180.0300,180.0300,8605000,0.0000,1.0000,45.8568,184.0240,180.1564,172.6895,182.1720,191.6546
2019-10-09,179.1600,180.7200,177.9400,179.8500,179.8500,7556900,0.0000,1.0000,45.5019,184.3080,180.1775,172.8455,182.5440,192.2425
2019-10-08,178.2600,180.3700,177.7200,177.7500,177.7500,9466900,0.0000,1.0000,41.3369,184.6518,180.2321,173.0294,182.9760,192.9226
2019-10-07,180.0000,181.1800,178.0900,179.6800,179.6800,9178300,0.0000,1.0000,44.2211,185.0156,180.6458,173.6603,183.3970,193.1337
2019-10-04,179.5500,180.9800,178.1000,180.4500,180.4500,10430200,0.0000,1.0000,45.3944,185.4170,180.8068,174.0038,183.8510,193.6982
2019-10-03,175.5700,179.8400,173.6300,179.3800,179.3800,16086300,0.0000,1.0000,43.4586,185.8222,180.8662,174.3639,184.2030,194.0421
2019-10-02,174.8400,176.5300,173.0900,174.6000,174.6000,16151700,0.0000,1.0000,33.7098,186.3278,181.1139,174.7891,184.7790,194.7689
2019-10-01,179.1500,179.8400,174.8800,175.8100,175.8100,17073000,0.0000,1.0000,35.1336,186.8830,182.1996,176.5393,185.4060,194.2727
2019-09-30,177.8700,178.6700,176.8500,178.0800,178.0800,10740000,0.0000,1.0000,37.9243,187.4132,183.2645,177.8872,185.7350,193.5828
2019-09-27,180.4900,180.7600,175.6600,177.1000,177.1000,14656200,0.0000,1.0000,35.8827,187.8188,184.1286,179.0936,186.1145,193.1354
2019-09-26,181.3300,181.4000,177.6700,180.1100,180.1100,16083300,0.0000,1.0000,39.5968,188.2924,185.3000,180.8474,186.5380,192.2286
2019-09-25,181.4500,183.4200,177.8700,182.8000,182.8000,18068300,0.0000,1.0000,43.3177,188.7262,186.1650,181.2673,186.6205,191.9737
2019-09-24,187.9800,188.0400,180.3900,181.2800,181.2800,18546600,0.0000,1.0000,40.3780,189.1470,186.7259,180.9440,186.5455,192.1470
2019-09-23,189.3400,190.1000,185.2100,186.8200,186.8200,13327600,0.0000,1.0000,48.9740,189.5996,187.6335,180.7137,186.4995,192.2853
2019-09-20,190.6600,193.1000,188.1200,189.9300,189.9300,19934200,0.0000,1.0000,55.0871,189.9606,187.7691,179.1219,186.0460,192.9701
2019-09-19,188.6600,191.1000,188.1500,190.1400,190.1400,10392700,0.0000,1.0000,55.5216,190.1866,187.4090,178.7585,185.6515,192.5445
2019-09-18,188.0900,189.0800,186.0100,188.1400,188.1400,9681900,0.0000,1.0000,52.1861,190.4384,186.9538,178.6938,185.3220,191.9502
2019-09-17,186.6600,188.3200,185.5400,188.0800,188.0800,9671100,0.0000,1.0000,52.0860,190.6598,186.7561,178.5775,185.1055,191.6335
2019-09-16,186.9300,187.7900,185.7700,186.2200,186.2200,8444800,0.0000,1.0000,49.0135,190.8134,186.5354,178.6042,185.0100,191.4158
2019-09-13,187.3300,187.9700,186.5400,187.1900,187.1900,11441100,0.0000,1.0000,50.5843,191.0170,186.5880,178.4792,184.8840,191.2888
2019-09-12,189.8600,190.9300,187.2300,187.4700,187.4700,11419800,0.0000,1.0000,51.0226,191.2172,186.4877,178.2666,184.6540,191.0414
2019-09-11,186.4600,189.4400,186.0800,188.4900,188.4900,11761700,0.0000,1.0000,52.5632,191.3678,186.3239,177.6706,184.2660,190.8614
2019-09-10,187.4400,188.1000,184.5500,186.1700,186.1700,15455900,0.0000,1.0000,49.3320,191.4580,185.9629,177.6737,184.2640,190.8543
2019-09-09,187.7300,188.9800,185.8500,188.7600,188.7600,14722400,0.0000,1.0000,53.0801,191.5946,185.9284,177.6708,184.2240,190.7772
2019-09-06,190.2100,190.2100,186.3500,187.4900,187.4900,15226800,0.0000,1.0000,51.3988,191.6094,185.4565,177.7403,184.1785,190.6167
2019-09-05,188.5300,191.3600,187.9400,190.9000,190.9000,13876700,0.0000,1.0000,56.4413,191.6128,185.1176,177.5045,184.3120,191.1195
2019-09-04,184.6500,187.7500,183.8900,187.1400,187.1400,11308000,0.0000,1.0000,51.5773,191.5716,184.1538,177.9032,184.0245,190.1458
2019-09-03,184.0000,185.6700,182.1100,182.3900,182.3900,9779400,0.0000,1.0000,44.2781,191.6808,183.6561,177.9342,183.8930,189.8518
2019-08-30,186.7800,186.8000,183.4600,185.6700,185.6700,10774500,0.0000,1.0000,49.0157,191.8558,183.8671,177.8611,183.8600,189.8589
2019-08-29,183.7700,186.0800,183.4700,185.5700,185.5700,10128700,0.0000,1.0000,48.8608,191.9330,183.5667,177.6600,184.0275,190.3950
2019-08-28,180.5300,181.9500,178.9200,181.7600,181.7600,9386100,0.0000,1.0000,42.7019,191.9712,183.2328,176.9894,184.3855,191.7816
2019-08-27,181.9300,184.0400,181.0100,181.3000,181.3000,14399600,0.0000,1.0000,41.9177,192.1054,183.4782,176.5738,185.0090,193.4442
2019-08-26,179.4000,180.5000,178.2400,180.3600,180.3600,8773600,0.0000,1.0000,40.3690,192.2596,183.8413,176.0558,185.7960,195.5362
2019-08-23,180.8400,183.1300,176.6600,177.7500,177.7500,17323400,0.0000,1.0000,35.9670,192.2790,184.4215,176.2254,186.5750,196.9246
2019-08-22,183.4300,184.1100,179.9100,182.0400,182.0400,10821400,0.0000,1.0000,40.5340,192.2734,185.5334,176.6561,187.6750,198.6939
2019-08-21,185.0000,185.9000,183.1400,183.5500,183.5500,8398200,0.0000,1.0000,42.2890,192.1334,186.1157,176.5436,188.6085,200.6734
2019-08-20,185.4500,186.0000,182.3900,183.8100,183.8100,10083400,0.0000,1.0000,42.5838,192.0244,186.5433,175.9703,189.6640,203.3577
2019-08-19,186.0100,187.5000,184.8500,186.1700,186.1700,9691200,0.0000,1.0000,45.2420,191.8446,186.9988,176.1188,190.5915,205.0642
2019-08-16,183.7500,185.1000,182.3600,183.7000,183.7000,12654600,0.0000,1.0000,41.7055,191.5882,187.1370,176.2183,191.3990,206.5797
2019-08-15,180.9619,183.2000,180.0300,182.5900,182.5900,12925900,0.0000,1.0000,40.0909,191.2808,187.7098,177.0940,192.1320,207.1700
2019-08-14,185.8000,185.9900,179.3100,179.7100,179.7100,18903700,0.0000,1.0000,35.8074,190.9924,188.5631,178.2233,193.0415,207.8597
2019-08-13,185.5200,191.3800,185.3700,188.4500,188.4500,13577000,0.0000,1.0000,44.8425,190.7482,190.0386,180.1998,194.1460,208.0922
2019-08-12,186.8500,187.5900,184.4600,185.3700,185.3700,10936300,0.0000,1.0000,39.8783,190.2622,190.3033,180.6175,194.9155,209.2135
2019-08-09,190.0000,190.9653,187.1200,187.8500,187.8500,11058800,0.0000,1.0000,42.7554,190.1042,191.1256,181.7374,195.8425,209.9476
2019-08-08,186.6200,190.3400,184.0500,190.1600,190.1600,14828900,0.0000,1.0000,45.6009,190.0074,191.6715,182.5662,196.6935,210.8208
2019-08-07,183.6000,186.3700,181.2200,185.1500,185.1500,15833200,0.0000,1.0000,37.1811,189.8480,191.9234,183.3210,197.2470,211.1730
2019-08-06,183.6900,185.7900,183.0930,184.5100,184.5100,18035700,0.0000,1.0000,36.0062,189.8312,193.0523,185.1805,198.1260,211.0715
2019-08-05,184.6900,185.6700,179.3400,181.7300,181.7300,23086700,0.0000,1.0000,30.7848,189.7622,194.4760,187.5216,198.8610,210.2004
2019-08-02,191.1000,192.6200,188.0700,189.0200,189.0200,15297000,0.0000,1.0000,38.4176,189.7450,196.6004,191.2053,199.5625,207.9197
2019-08-01,194.1700,198.4700,190.8800,192.7300,192.7300,17777000,0.0000,1.0000,43.5163,189.6710,197.8638,192.9265,199.9315,206.9365
2019-07-31,196.9500,198.7600,192.6800,194.2300,194.2300,14593500,0.0000,1.0000,45.7983,189.5128,198.7194,193.8313,200.1550,206.4787
2019-07-30,195.3900,198.7100,193.5000,197.0400,197.0400,11903600,0.0000,1.0000,50.3954,189.2826,199.4677,194.0066,200.1935,206.3804
2019-07-29,199.0000,199.6300,195.3000,195.9400,195.9400,16530800,0.0000,1.0000,48.5169,189.0478,199.8723,193.1743,199.9915,206.8087
2019-07-26,200.1900,202.8800,196.2500,199.7500,199.7500,24434000,0.0000,1.0000,55.2455,188.8688,200.5276,192.5725,199.8445,207.1165
2019-07-25,206.7000,208.6749,198.2600,200.7100,200.7100,39889900,0.0000,1.0000,57.0982,188.5992,200.6572,190.7745,199.3320,207.8895
2019-07-24,197.6300,204.8100,197.2200,204.6600,204.6600,32532500,0.0000,1.0000,65.4895,188.1996,200.6484,188.7601,198.6795,208.5989
2019-07-23,202.8400,204.2400,200.9600,202.3600,202.3600,14583700,0.0000,1.0000,62.5106,187.7372,199.9799,187.4913,197.8885,208.2857
2019-07-22,199.9100,202.5700,198.8100,202.3200,202.3200,13589000,0.0000,1.0000,62.4583,187.4568,199.5832,186.9724,197.4005,207.8286
2019-07-19,202.1800,202.3300,198.0700,198.3600,198.3600,12098300,0.0000,1.0000,56.9314,187.1834,199.1270,186.3299,196.8415,207.3531
2019-07-18,200.1500,202.4700,199.3800,200.7800,200.7800,11956600,0.0000,1.0000,62.1211,187.0070,199.2549,185.4481,196.4000,207.3519
2019-07-17,204.1825,204.3600,201.5900,201.8000,201.8000,12083700,0.0000,1.0000,64.4193,186.7868,199.0007,184.3222,195.7350,207.1478
2019-07-16,203.8900,205.4700,203.1000,203.8400,203.8400,12132700,0.0000,1.0000,69.1720,186.6284,198.5341,183.5936,195.0685,206.5434
2019-07-15,204.2500,205.3300,201.8200,203.9100,203.9100,16030300,0.0000,1.0000,69.3350,186.4610,197.6498,183.3076,194.3270,205.3464
2019-07-12,199.6800,205.3000,199.1600,204.8700,204.8700,15366300,0.0000,1.0000,71.4798,186.2334,196.6064,181.7199,193.1980,204.6761
2019-07-11,203.2600,203.8000,200.2100,201.2300,201.2300,13678500,0.0000,1.0000,67.9938,185.9966,195.2292,179.7257,191.8280,203.9303
2019-07-10,200.0000,202.9521,199.6700,202.7300,202.7300,20571700,0.0000,1.0000,71.3300,185.8400,194.2291,177.1658,190.5185,203.8712
2019-07-09,194.9700,199.4600,194.8900,199.2100,199.2100,14698600,0.0000,1.0000,67.8977,185.6810,192.8122,176.1246,189.2870,202.4494
2019-07-08,195.1900,196.6800,193.6400,195.7600,195.7600,9723900,0.0000,1.0000,63.9724,185.5266,191.7459,174.3029,188.0675,201.8321
2019-07-05,196.1800,197.0700,194.1700,196.4000,196.4000,11164100,0.0000,1.0000,65.3488,185.4766,191.0769,172.2525,186.9470,201.6415
2019-07-03,194.1600,197.4000,194.1600,197.2000,197.2000,10246100,0.0000,1.0000,67.0227,185.2002,190.1897,169.4346,185.5435,201.6524
2019-07-02,193.0000,195.0000,192.7100,195.0000,195.0000,9050000,0.0000,1.0000,64.7148,184.9318,189.0214,167.2319,184.0920,200.9521
2019-07-01,195.2100,195.2800,191.9300,193.0000,193.0000,14204700,0.0000,1.0000,62.4993,184.6606,188.0249,165.1682,182.7170,200.2658
2019-06-28,190.5500,193.2000,189.9400,193.0000,193.0000,16378900,0.0000,1.0000,62.4993,184.3662,187.1957,162.6349,181.2745,199.9141
2019-06-27,189.8800,189.9500,188.2700,189.5000,189.5000,11159000,0.0000,1.0000,58.5746,184.0818,186.2284,162.5977,180.4980,198.3983
2019-06-26,189.5400,190.7600,187.3100,187.6600,187.6600,12808600,0.0000,1.0000,56.3442,183.8692,185.6831,162.7077,180.1735,197.6393
2019-06-25,192.8800,193.1400,188.1300,188.8400,188.8400,16750300,0.0000,1.0000,58.2106,183.7090,185.3536,162.7431,179.9000,197.0569
2019-06-24,192.4091,193.9800,191.5700,192.6000,192.6000,15509000,0.0000,1.0000,64.5355,183.5142,184.7725,162.8789,179.6735,196.4681
2019-06-21,188.7500,192.0000,188.7500,191.1400,191.1400,22751200,0.0000,1.0000,63.0895,183.2124,183.4680,163.3582,179.0965,194.8348
2019-06-20,190.9500,191.1600,187.6400,189.5300,189.5300,14635700,0.0000,1.0000,61.4812,182.9460,182.1893,163.8094,178.5830,193.3566
2019-06-19,187.0000,188.1000,184.5500,187.4800,187.4800,21417100,0.0000,1.0000,59.3891,182.7070,180.9658,164.1180,178.3725,192.6270
2019-06-18,194.0000,194.5300,187.2800,188.4700,188.4700,37571400,0.0000,1.0000,60.8717,182.4560,179.8802,164.2808,178.2395,192.1982
2019-06-17,185.0143,189.5000,184.4110,189.0100,189.0100,29459900,0.0000,1.0000,61.6512,182.2010,178.4485,164.6254,177.9520,191.2786
2019-06-14,180.5100,181.8400,180.0000,181.3300,181.3300,16773700,0.0000,1.0000,53.8454,181.9412,176.6883,164.9680,177.7665,190.5650
2019-06-13,175.5300,178.0300,174.6060,177.4700,177.4700,12253600,0.0000,1.0000,49.0005,181.7854,175.9146,164.7094,178.0495,191.3896
2019-06-12,178.3800,179.2700,172.8800,175.0400,175.0400,17699800,0.0000,1.0000,45.6666,181.7200,175.6554,164.6826,178.4895,192.2964
2019-06-11,178.4800,179.9599,176.7900,178.1000,178.1000,15266600,0.0000,1.0000,49.4463,181.5932,175.7580,165.0288,178.7740,192.5192
2019-06-10,174.7500,177.8600,173.7954,174.8200,174.8200,14767900,0.0000,1.0000,44.9077,181.3650,175.3676,165.1528,178.9460,192.7392
2019-06-07,170.1700,173.8700,168.8400,173.3500,173.3500,16917300,0.0000,1.0000,42.7694,181.1796,175.4589,165.3858,179.6220,193.8582
2019-06-06,168.3000,169.7000,167.2300,168.3300,168.3300,12446400,0.0000,1.0000,34.7373,181.0300,175.8104,165.9384,180.3870,194.8356
2019-06-05,167.4800,168.7200,164.6300,168.1700,168.1700,19758300,0.0000,1.0000,34.4651,181.0170,177.0571,167.5931,181.4475,195.3019
2019-06-04,163.7100,168.2800,160.8316,167.5000,167.5000,46044300,0.0000,1.0000,33.3846,180.9794,178.5383,169.6483,182.5275,195.4067
2019-06-03,175.0000,175.0500,161.0100,164.1500,164.1500,56059600,0.0000,1.0000,27.8631,180.9162,180.3781,172.0344,183.8465,195.6586
2019-05-31,180.2800,180.5400,177.1600,177.4700,177.4700,15226500,0.0000,1.0000,40.1501,180.9548,183.0827,176.5161,185.4125,194.3089
2019-05-30,183.0800,183.4800,180.8900,183.0100,183.0100,8581500,0.0000,1.0000,48.3916,180.7142,184.0182,177.5404,186.1655,194.7906
2019-05-29,183.5000,184.5600,181.3500,182.1900,182.1900,12797700,0.0000,1.0000,46.8934,180.2854,184.1862,177.6764,186.6665,195.6566
2019-05-28,181.5400,184.7128,181.4540,184.3100,184.3100,14843300,0.0000,1.0000,50.4065,179.8510,184.5189,178.0278,187.2270,196.4262
2019-05-24,182.3300,183.6300,180.8358,181.0600,181.0600,8807700,0.0000,1.0000,44.4862,179.4844,184.5537,178.0946,187.7505,197.4064
2019-05-23,182.4200,183.9000,179.6700,180.8700,180.8700,12768800,0.0000,1.0000,44.1241,179.2666,185.1360,178.9987,188.2720,197.5453
2019-05-22,184.7300,186.7400,183.6100,185.3200,185.3200,9213800,0.0000,1.0000,51.4181,179.1166,185.8470,180.0328,188.8915,197.7502
2019-05-21,184.5700,185.7000,183.8850,184.8200,184.8200,7502800,0.0000,1.0000,50.5655,178.8486,185.9349,179.5993,188.7545,197.9097
2019-05-20,181.8800,184.2300,181.3700,182.7200,182.7200,10352000,0.0000,1.0000,46.9334,178.5936,186.1207,179.4473,188.7025,197.9577
2019-05-17,184.8400,187.5800,184.2800,185.3000,185.3000,10485400,0.0000,1.0000,51.2272,178.3312,186.6875,179.2027,188.6385,198.0743
2019-05-16,185.0500,188.5750,185.0500,186.9900,186.9900,12953100,0.0000,1.0000,54.2458,178.0078,186.9187,177.9062,188.2875,198.6688
