timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,RSI,SMA,EMA,Real Lower Band,Real Middle Band,Real Upper Band
2019-10-11,9.1400,9.6600,9.1300,9.5500,9.5500,45688016,0.0000,1.0000,52.0389,9.5532,9.1857,8.1900,9.5825,10.9750
2019-10-10,8.7800,9.1400,8.6300,8.9600,8.9100,61232700,0.0500,1.0000,39.8293,9.5762,9.1249,8.1592,9.6430,11.1268
2019-10-09,8.6000,8.6700,8.4300,8.5500,8.5023,20374500,0.0000,1.0000,28.0022,9.6182,9.1524,8.2322,9.7135,11.1948
2019-10-08,8.6700,8.7000,8.4800,8.5100,8.4625,29695600,0.0000,1.0000,26.6969,9.6766,9.2528,8.4019,9.7900,11.1781
2019-10-07,8.7900,9.0500,8.7300,8.7600,8.7111,21117800,0.0000,1.0000,29.8362,9.7386,9.3766,8.6076,9.8705,11.1334
2019-10-04,8.8800,8.9700,8.7200,8.8300,8.7807,21138400,0.0000,1.0000,30.7771,9.7946,9.4794,8.7576,9.9175,11.0774
2019-10-03,8.8200,8.9100,8.6000,8.8600,8.8106,28429400,0.0000,1.0000,31.1683,9.8464,9.5877,8.8724,9.9470,11.0216
2019-10-02,9.0400,9.1200,8.8500,8.8700,8.8205,25488900,0.0000,1.0000,31.2914,9.9080,9.7089,9.0064,9.9805,10.9546
2019-10-01,9.5500,9.6000,9.1300,9.1700,9.1188,26848600,0.0000,1.0000,35.1599,9.9636,9.8488,9.1094,10.0015,10.8936
2019-09-30,9.6200,9.6800,9.5600,9.5700,9.5166,11988000,0.0000,1.0000,41.5141,10.0100,9.9619,9.0849,9.9965,10.9081
2019-09-27,9.8300,9.9000,9.6100,9.6500,9.5961,22210100,0.0000,1.0000,42.9558,10.0484,10.0272,9.0167,9.9775,10.9383
2019-09-26,10.0100,10.0500,9.7900,9.8000,9.7453,19347000,0.0000,1.0000,45.7202,10.0784,10.0901,8.9283,9.9510,10.9737
2019-09-25,9.9300,10.1800,9.8100,10.0700,10.0138,23425800,0.0000,1.0000,51.2310,10.1036,10.1384,8.7974,9.9085,11.0196
2019-09-24,10.3100,10.3200,9.9300,10.0100,9.9541,20225500,0.0000,1.0000,49.9871,10.1246,10.1498,8.6165,9.8405,11.0645
2019-09-23,10.2000,10.5400,10.2000,10.3300,10.2724,18743100,0.0000,1.0000,57.2141,10.1472,10.1731,8.4863,9.7820,11.0777
2019-09-20,10.5000,10.7300,10.4200,10.4700,10.4116,23390300,0.0000,1.0000,60.7842,10.1610,10.1470,8.3737,9.7070,11.0403
2019-09-19,10.3200,10.6500,10.3100,10.4500,10.3917,19849600,0.0000,1.0000,60.4569,10.1736,10.0931,8.3324,9.6400,10.9476
2019-09-18,10.3300,10.4600,10.0900,10.3600,10.3022,26245500,0.0000,1.0000,59.0279,10.1836,10.0336,8.3051,9.5745,10.8439
2019-09-17,10.3000,10.5300,10.2100,10.4100,10.3519,22280300,0.0000,1.0000,60.1492,10.1938,9.9792,8.2896,9.5160,10.7424
2019-09-16,10.6100,10.6900,10.4300,10.4700,10.4116,21058100,0.0000,1.0000,61.4500,10.2100,9.9074,8.2984,9.4580,10.6176
2019-09-13,10.6500,10.9700,10.6200,10.7600,10.7000,27450100,0.0000,1.0000,68.0551,10.2264,9.8137,8.3186,9.3895,10.4604
2019-09-12,10.2900,10.5200,10.0300,10.3700,10.3121,27660800,0.0000,1.0000,63.1024,10.2374,9.6560,8.4225,9.3010,10.1795
2019-09-11,10.1300,10.2200,9.7600,10.0800,10.0238,20235100,0.0000,1.0000,58.6790,10.2590,9.5370,8.5200,9.2505,9.9810
2019-09-10,9.7000,10.1800,9.7000,10.1200,10.0635,30521000,0.0000,1.0000,59.5940,10.2864,9.4464,8.5500,9.2410,9.9320
2019-09-09,9.4700,9.7500,9.4400,9.7000,9.6459,19778200,0.0000,1.0000,52.3492,10.3162,9.3342,8.6322,9.2110,9.7898
2019-09-06,9.5400,9.5400,9.4000,9.4200,9.3674,18782500,0.0000,1.0000,46.3997,10.3534,9.2732,8.6260,9.2135,9.8010
2019-09-05,9.4800,9.7700,9.4700,9.5300,9.4768,24776100,0.0000,1.0000,48.6139,10.3948,9.2488,8.5441,9.2485,9.9529
2019-09-04,9.3100,9.4100,9.2300,9.2900,9.2382,12091700,0.0000,1.0000,43.1142,10.4310,9.2019,8.4914,9.2760,10.0606
2019-09-03,9.0000,9.1600,8.8800,9.0700,9.0194,18071900,0.0000,1.0000,37.4125,10.4720,9.1872,8.4481,9.3185,10.1889
2019-08-30,9.2200,9.2700,9.0900,9.1900,9.1387,12318300,0.0000,1.0000,39.4134,10.5174,9.2067,8.4475,9.3685,10.2895
2019-08-29,9.1500,9.2600,9.0600,9.1200,9.0691,14882600,0.0000,1.0000,37.6059,10.5612,9.2095,8.4225,9.4240,10.4255
2019-08-28,8.7400,8.9900,8.5800,8.9500,8.9001,15456200,0.0000,1.0000,33.1054,10.6026,9.2244,8.3693,9.5030,10.6367
2019-08-27,8.9200,9.0200,8.6800,8.7100,8.6614,15942200,0.0000,1.0000,26.1194,10.6462,9.2702,8.3184,9.6085,10.8986
2019-08-26,8.8600,8.9300,8.7600,8.8400,8.7907,19840600,0.0000,1.0000,27.5675,10.6868,9.3635,8.2906,9.7465,11.2024
2019-08-23,9.0400,9.1800,8.8000,8.8300,8.7807,22529000,0.0000,1.0000,27.2795,10.7230,9.4508,8.2809,9.8850,11.4891
2019-08-22,9.2200,9.2900,9.0900,9.1300,9.0791,13827300,0.0000,1.0000,30.6770,10.7630,9.5543,8.3371,10.0215,11.7059
2019-08-21,9.2700,9.3200,9.1400,9.1400,9.0890,17332900,0.0000,1.0000,30.7957,10.7922,9.6250,8.3991,10.1360,11.8729
2019-08-20,9.1800,9.2100,9.0100,9.1900,9.1387,13179000,0.0000,1.0000,31.3591,10.8218,9.7058,8.4345,10.2760,12.1175
2019-08-19,9.3100,9.4200,9.2300,9.2500,9.1984,16936200,0.0000,1.0000,32.0118,10.8502,9.7918,8.5356,10.3990,12.2624
2019-08-16,9.0911,9.3900,8.7800,9.1000,9.0492,18373200,0.0000,1.0000,28.5604,10.8722,9.8821,8.6682,10.5110,12.3538
2019-08-15,9.3800,9.3900,8.7800,8.9900,8.9398,26881200,0.0000,1.0000,26.0025,10.8940,10.0124,8.8606,10.6305,12.4004
2019-08-14,9.5400,9.6098,9.3500,9.3600,9.3078,27274500,0.0000,1.0000,29.2766,10.9162,10.1828,9.1256,10.7385,12.3514
2019-08-13,9.5200,10.0100,9.4094,9.8900,9.8348,29866400,0.0000,1.0000,35.1664,10.9354,10.3200,9.3358,10.8235,12.3112
2019-08-12,9.6700,9.7200,9.4500,9.5200,9.4669,13866400,0.0000,1.0000,25.4432,10.9360,10.3916,9.4562,10.8850,12.3138
2019-08-09,10.0405,10.0600,9.7100,9.7500,9.6956,20112800,0.0000,1.0000,27.8545,10.9398,10.5369,9.6793,10.9660,12.2527
2019-08-08,10.2200,10.3600,10.0750,10.1200,10.0635,24263300,0.0000,1.0000,32.4480,10.9412,10.6681,9.8701,11.0295,12.1889
2019-08-07,9.9700,10.1500,9.8900,10.0800,10.0238,21874400,0.0000,1.0000,31.3109,10.9386,10.7594,9.9967,11.0785,12.1603
2019-08-06,10.1000,10.1800,9.9000,10.1400,10.0834,17080700,0.0000,1.0000,32.0626,10.9376,10.8726,10.1389,11.1220,12.1051
2019-08-05,10.0500,10.2000,9.8300,10.0700,10.0138,25537600,0.0000,1.0000,30.2484,10.9364,10.9947,10.2747,11.1585,12.0423
2019-08-02,10.5500,10.6600,10.1200,10.3000,10.2425,25816700,0.0000,1.0000,32.9316,10.9340,11.1488,10.4869,11.2160,11.9451
2019-08-01,10.8896,11.0700,10.5500,10.7000,10.6403,23839600,0.0000,1.0000,38.4378,10.9292,11.2903,10.6696,11.2655,11.8614
2019-07-31,11.4000,11.4700,10.8500,11.0600,10.9983,18292800,0.0000,1.0000,44.6813,10.9222,11.3887,10.7595,11.2960,11.8325
2019-07-30,11.4700,11.5400,11.3800,11.4700,11.4060,15139900,0.0000,1.0000,53.9484,10.9050,11.4435,10.7864,11.3155,11.8446
2019-07-29,11.5500,11.6700,11.4506,11.6100,11.5452,14526400,0.0000,1.0000,57.7459,10.8830,11.4391,10.7865,11.3145,11.8425
2019-07-26,11.4200,11.5900,11.2600,11.5600,11.4955,14341700,0.0000,1.0000,56.7359,10.8640,11.4106,10.7865,11.3145,11.8425
2019-07-25,12.0500,12.0500,11.2600,11.4200,11.3563,25283600,0.0000,1.0000,53.8691,10.8498,11.3857,10.7865,11.3145,11.8425
2019-07-24,11.5400,12.0700,11.5300,11.9400,11.8734,20942100,0.0000,1.0000,69.8275,10.8386,11.3800,10.7864,11.3180,11.8496
2019-07-23,11.5400,11.7300,11.5200,11.6500,11.5850,13936300,0.0000,1.0000,64.3599,10.8140,11.2866,10.8388,11.2880,11.7372
2019-07-22,11.5600,11.6100,11.3800,11.4900,11.4259,13686100,0.0000,1.0000,60.7125,10.8084,11.2261,10.8540,11.2725,11.6910
2019-07-19,11.4300,11.7000,11.3200,11.4900,11.4259,30374500,0.0000,1.0000,60.7125,10.8042,11.1821,10.8572,11.2650,11.6728
2019-07-18,10.9700,11.1800,10.9500,11.1500,11.0878,12662000,0.0000,1.0000,51.6454,10.8018,11.1308,10.8611,11.2595,11.6579
2019-07-17,11.0900,11.1600,10.9200,11.0600,10.9983,18415100,0.0000,1.0000,48.7374,10.8076,11.1276,10.8649,11.2615,11.6581
2019-07-16,11.2100,11.4000,11.0998,11.1200,11.0579,19193700,0.0000,1.0000,50.6220,10.8208,11.1388,10.8744,11.2650,11.6556
