timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,RSI,SMA,EMA,Real Lower Band,Real Middle Band,Real Upper Band
2019-11-27,11.3900,11.4700,11.2600,11.2900,11.2900,45502068,0.0000,1.0000,63.2818,9.8478,11.2851,10.4305,11.2295,12.0285
2019-11-26,11.6200,11.6700,11.3100,11.3500,11.3500,64201615,0.0000,1.0000,65.2553,9.8096,11.2843,10.2354,11.1705,12.1056
2019-11-25,11.6600,11.8400,11.5700,11.5800,11.5800,56710023,0.0000,1.0000,73.4038,9.7698,11.2733,9.7533,11.0565,12.3597
2019-11-22,11.4900,11.7200,11.4900,11.5500,11.5500,38487447,0.0000,1.0000,72.9953,9.7258,11.2222,9.3916,10.9310,12.4704
2019-11-21,11.3300,11.6150,11.3100,11.5300,11.5300,41680986,0.0000,1.0000,72.7362,9.6816,11.1676,9.0790,10.8035,12.5280
2019-11-20,11.4400,11.4900,11.2600,11.3900,11.3900,46683121,0.0000,1.0000,70.9222,9.6362,11.1072,8.8067,10.6745,12.5423
2019-11-19,11.4300,11.5450,11.2600,11.5000,11.5000,46832513,0.0000,1.0000,74.5406,9.5956,11.0601,8.6109,10.5620,12.5131
2019-11-18,11.4100,11.5000,11.3300,11.4400,11.4400,50972354,0.0000,1.0000,73.8653,9.5484,10.9867,8.4344,10.4400,12.4456
2019-11-15,11.3400,11.5500,11.3300,11.5200,11.5200,38235199,0.0000,1.0000,76.3735,9.4988,10.9112,8.2346,10.3075,12.3804
2019-11-14,11.1800,11.3500,11.1800,11.2900,11.2900,30790454,0.0000,1.0000,74.0182,9.4426,10.8097,8.1058,10.1795,12.2532
2019-11-13,11.2900,11.3550,11.1800,11.2900,11.2900,54304186,0.0000,1.0000,74.0182,9.3930,10.7297,8.0024,10.0670,12.1316
2019-11-12,11.2900,11.5800,11.2900,11.4200,11.4200,48898173,0.0000,1.0000,77.7980,9.3432,10.6363,7.9033,9.9475,11.9917
2019-11-11,11.4000,11.5000,11.2400,11.3500,11.3500,45575409,0.0000,1.0000,77.2163,9.2814,10.5057,7.8449,9.8210,11.7971
2019-11-08,11.2300,11.5500,11.1400,11.5200,11.5200,62474585,0.0000,1.0000,82.0654,9.2194,10.3650,7.7894,9.6895,11.5896
2019-11-07,11.1000,11.3150,11.0900,11.2900,11.2900,71042714,0.0000,1.0000,80.5293,9.1512,10.1725,7.8143,9.5535,11.2927
2019-11-06,10.9300,11.1000,10.7900,11.0200,11.0200,77980123,0.0000,1.0000,78.5241,9.0842,9.9862,7.8039,9.4115,11.0191
