timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,RSI,SMA,EMA,Real Lower Band,Real Middle Band,Real Upper Band
2019-10-11,140.1200,141.0000,139.5100,139.6800,139.6800,22270160,0.0000,1.0000,55.1371,137.2092,137.9458,134.9678,138.0430,141.1182
2019-10-10,138.4900,139.6700,138.2500,139.1000,139.1000,17654600,0.0000,1.0000,53.8112,137.1768,137.6568,134.9300,137.9250,140.9200
2019-10-09,137.4600,138.7000,136.9700,138.2400,138.2400,19749900,0.0000,1.0000,51.8521,137.1202,137.4163,134.8961,137.8460,140.7959
2019-10-08,137.0800,137.7600,135.6200,135.6700,135.6700,25550500,0.0000,1.0000,45.4289,137.1624,137.2790,134.7033,137.7400,140.7767
2019-10-07,137.1400,138.1800,137.0200,137.1200,137.1200,15303700,0.0000,1.0000,48.8426,137.2696,137.5471,134.7749,137.7605,140.7461
2019-10-04,136.7500,138.2500,136.4200,138.1200,138.1200,22897700,0.0000,1.0000,51.3117,137.3540,137.6183,134.8070,137.7805,140.7540
2019-10-03,134.9500,136.7500,133.2200,136.2800,136.2800,24132900,0.0000,1.0000,46.7087,137.3954,137.5347,134.8034,137.8295,140.8556
2019-10-02,136.2500,136.3700,133.5800,134.6500,134.6500,30521700,0.0000,1.0000,42.2149,137.4842,137.7438,134.9323,138.0180,141.1037
2019-10-01,139.6600,140.2500,137.0000,137.0700,137.0700,21466600,0.0000,1.0000,47.7681,137.5770,138.2595,135.4849,138.1670,140.8491
2019-09-30,138.0500,139.2200,137.7800,139.0300,139.0300,17280900,0.0000,1.0000,53.0127,137.6042,138.4577,135.3142,138.1155,140.9168
2019-09-27,140.1500,140.3600,136.6500,137.7300,137.7300,22477700,0.0000,1.0000,49.6049,137.5560,138.3623,135.2858,138.0570,140.8282
2019-09-26,139.4400,140.1800,138.4400,139.5400,139.5400,17456600,0.0000,1.0000,54.7373,137.5298,138.4677,135.3093,138.0765,140.8437
2019-09-25,137.5000,139.9600,136.0300,139.3600,139.3600,21382000,0.0000,1.0000,54.3007,137.4644,138.2890,134.9901,137.8775,140.7649
2019-09-24,140.3600,140.6900,136.8800,137.3800,137.3800,29773200,0.0000,1.0000,49.3057,137.4188,138.1105,134.7503,137.6965,140.6428
2019-09-23,139.2300,139.6300,138.4400,139.1400,139.1400,17139300,0.0000,1.0000,54.1950,137.4492,138.2323,134.4964,137.6000,140.7036
2019-09-20,141.0100,141.6500,138.2500,139.4400,139.4400,39167300,0.0000,1.0000,55.0592,137.4444,138.0810,133.7951,137.3125,140.8299
2019-09-19,140.3000,142.3700,140.0700,141.0700,141.0700,35772100,0.0000,1.0000,59.8763,137.4236,137.8545,133.8408,137.2295,140.6182
2019-09-18,137.3600,138.6700,136.5300,138.5200,138.5200,23982100,0.0000,1.0000,54.0344,137.3592,137.3186,134.1208,137.1155,140.1102
2019-09-17,136.9600,137.5200,136.4300,137.3900,137.3900,17814200,0.0000,1.0000,51.1050,137.3180,137.1183,134.1264,137.0525,139.9786
2019-09-16,135.8300,136.7000,135.6600,136.3300,136.3300,16731400,0.0000,1.0000,48.2312,137.3094,137.0731,134.1206,137.1035,140.0864
2019-09-13,137.7800,138.0600,136.5700,137.3200,137.3200,23363100,0.0000,1.0000,50.8217,137.3240,137.1969,134.0990,137.0935,140.0880
2019-09-12,137.8500,138.4200,136.8700,137.5200,137.5200,27010000,0.0000,1.0000,51.3390,137.3268,137.1764,133.5716,136.9115,140.2514
2019-09-11,135.9100,136.2700,135.0900,136.1200,136.1200,24726100,0.0000,1.0000,47.8916,137.3080,137.1191,133.1744,136.7345,140.2946
2019-09-10,136.8000,136.8900,134.5100,136.0800,136.0800,28903400,0.0000,1.0000,47.7935,137.2992,137.2856,133.2208,136.8585,140.4962
2019-09-09,139.5900,139.7500,136.4600,137.5200,137.5200,25773900,0.0000,1.0000,51.0042,137.2568,137.4866,133.1917,136.8440,140.4963
2019-09-06,140.0300,140.1800,138.2000,139.1000,139.1000,20824500,0.0000,1.0000,54.7515,137.1894,137.4810,133.1932,136.8535,140.5138
2019-09-05,139.1100,140.3800,138.7600,140.0500,140.0500,26101800,0.0000,1.0000,57.0935,137.0860,137.2112,133.2075,136.8430,140.4785
2019-09-04,137.3000,137.6900,136.4800,137.6300,137.6300,17995900,0.0000,1.0000,52.2635,136.9536,136.7380,133.2250,136.6045,139.9840
2019-09-03,136.6100,137.2000,135.7000,136.0400,136.0400,18869300,0.0000,1.0000,48.7432,136.9566,136.5894,133.0140,136.4575,139.9010
2019-08-30,139.1500,139.1800,136.2700,137.8600,137.8600,23940100,0.0000,1.0000,52.8887,136.9752,136.6809,132.3565,136.2660,140.1755
2019-08-29,137.2500,138.4400,136.9100,138.1200,138.1200,20168700,0.0000,1.0000,53.4922,136.9570,136.4844,132.3648,136.2180,140.0712
2019-08-28,134.8800,135.7600,133.5500,135.5600,135.5600,17393300,0.0000,1.0000,48.0751,136.9084,136.2118,132.3676,136.2150,140.0624
2019-08-27,136.3900,136.7200,134.6600,135.7400,135.7400,23102100,0.0000,1.0000,48.4436,136.9004,136.3205,132.4149,136.2505,140.0861
2019-08-26,134.9900,135.5600,133.9000,135.4500,135.4500,20312600,0.0000,1.0000,47.8456,136.8426,136.4172,132.2610,136.4810,140.7010
2019-08-23,137.1900,138.3500,132.8000,133.3900,133.3900,38508600,0.0000,1.0000,43.5256,136.7826,136.5784,132.1315,136.7600,141.3885
2019-08-22,138.6600,139.2000,136.2900,137.7800,137.7800,18697000,0.0000,1.0000,52.0586,136.7612,137.1098,132.3914,137.1575,141.9235
2019-08-21,138.5500,139.4900,138.0000,138.7900,138.7900,14970300,0.0000,1.0000,54.3342,136.6354,136.9981,132.3365,137.2780,142.2195
2019-08-20,138.2100,138.7100,137.2400,137.2600,137.2600,21170800,0.0000,1.0000,51.3423,136.5016,136.6994,132.2467,137.3745,142.5023
2019-08-19,137.8500,138.5500,136.8900,138.4100,138.4100,24355700,0.0000,1.0000,53.8026,136.4084,136.6060,132.2814,137.4760,142.6706
2019-08-16,134.8800,136.4600,134.7200,136.1300,136.1300,24449100,0.0000,1.0000,49.3328,136.2682,136.3054,132.2817,137.4770,142.6723
2019-08-15,134.3900,134.5800,132.2500,133.6800,133.6800,28074400,0.0000,1.0000,43.9187,136.1020,136.3346,132.3272,137.5015,142.6758
2019-08-14,136.3600,136.9200,133.6700,133.9800,133.9800,32527300,0.4600,1.0000,44.4588,135.9450,136.7770,132.7384,137.6385,142.5386
2019-08-13,136.0500,138.8000,135.0000,138.6000,138.1400,25154600,0.0000,1.0000,53.9471,135.7286,137.2432,133.0994,137.7530,142.4066
2019-08-12,137.0700,137.8600,135.2400,135.7900,135.3393,20484300,0.0000,1.0000,47.6354,135.3534,137.0170,133.0315,137.6770,142.3225
2019-08-09,138.6100,139.3800,136.4600,137.7100,137.2530,23466700,0.0000,1.0000,52.1721,135.1112,137.2216,133.2422,137.8325,142.4228
2019-08-08,136.6000,138.9900,135.9300,138.8900,138.4290,27496500,0.0000,1.0000,55.1707,134.8716,137.1401,133.2788,137.8920,142.5052
