timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,RSI,SMA,EMA,Real Lower Band,Real Middle Band,Real Upper Band
2019-10-11,247.1500,251.0800,246.8100,247.8900,247.8900,8303001,0.0000,1.0000,58.7130,232.6170,240.9008,227.7749,240.2110,252.6471
2019-10-10,245.2800,249.2800,241.5800,244.7400,244.7400,6283300,0.0000,1.0000,56.3952,232.3362,239.7360,227.9204,240.0765,252.2326
2019-10-09,241.3200,247.3000,240.6500,244.5300,244.5300,6894400,0.0000,1.0000,56.2431,232.2736,238.9020,227.8806,240.1330,252.3854
2019-10-08,235.8700,243.9400,234.5000,240.0500,240.0500,8678200,0.0000,1.0000,52.9959,232.2282,237.9640,227.7757,240.2615,252.7473
2019-10-07,229.8000,238.5600,228.5500,237.7200,237.7200,8064200,0.0000,1.0000,51.2487,232.1426,237.6163,227.3813,240.0360,252.6907
2019-10-04,231.6100,234.7800,228.0700,231.4300,231.4300,7995000,0.0000,1.0000,46.2393,231.9490,237.5990,226.6126,239.7395,252.8664
2019-10-03,231.8600,234.4800,224.2800,233.0300,233.0300,15084500,0.0000,1.0000,47.3895,231.8968,238.6272,225.8090,239.5405,253.2720
2019-10-02,243.2900,244.6500,239.4300,243.1300,243.1300,5631400,0.0000,1.0000,55.4785,232.5338,239.5601,225.2329,239.3680,253.5031
2019-10-01,241.5000,245.9500,239.1300,244.6900,244.6900,6162600,0.0000,1.0000,56.8708,232.8746,238.9651,222.0659,238.2455,254.4251
2019-09-30,243.0000,243.9800,236.1100,240.8700,240.8700,5879800,0.0000,1.0000,54.2608,233.0944,238.0109,220.3904,237.2615,254.1326
2019-09-27,242.2000,248.7100,238.7300,242.1300,242.1300,11116400,0.0000,1.0000,55.2855,233.4406,237.5344,218.9813,236.4985,254.0157
2019-09-26,230.6600,243.3100,227.4000,242.5600,242.5600,11884500,0.0000,1.0000,55.6183,233.6688,236.7685,217.0362,235.4775,253.9188
2019-09-25,224.5600,228.9800,218.3600,228.7000,228.7000,9427100,0.0000,1.0000,45.8631,233.9148,235.8032,214.0821,234.1290,254.1759
2019-09-24,241.5200,241.9900,222.6100,223.2100,223.2100,12891500,0.0000,1.0000,41.1014,234.3884,236.9871,211.6210,233.3980,255.1750
2019-09-23,240.0000,245.1800,239.2200,241.2300,241.2300,4340200,0.0000,1.0000,56.1557,234.9942,239.2833,210.1730,232.9875,255.8020
2019-09-20,246.4900,246.9500,238.1600,240.6200,240.6200,6353000,0.0000,1.0000,55.6451,235.0712,238.9588,207.1810,231.4960,255.8110
2019-09-19,246.0000,247.9400,244.8400,246.6000,246.6000,4795800,0.0000,1.0000,62.2446,235.0308,238.6820,206.3108,230.5725,254.8342
2019-09-18,245.0000,248.1700,242.3700,243.4900,243.4900,4170200,0.0000,1.0000,59.9508,234.8772,237.3623,205.8406,229.2840,252.7274
2019-09-17,242.4700,245.6000,240.3700,244.7900,244.7900,3865400,0.0000,1.0000,61.3986,234.6086,236.3410,205.8532,228.4025,250.9518
2019-09-16,246.0000,247.4300,241.1700,242.8100,242.8100,4728100,0.0000,1.0000,60.0335,234.3196,234.9329,206.2435,227.5045,248.7654
