timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,RSI,SMA,EMA,Real Lower Band,Real Middle Band,Real Upper Band
2019-11-13,51.2300,51.3700,51.1200,51.2689,51.2689,328551,0.0000,1.0000,57.9865,50.3990,51.0485,49.8774,50.8100,51.7426
2019-11-12,51.3400,51.5300,51.2100,51.3500,51.3500,6801000,0.0000,1.0000,59.0318,50.3732,51.0099,49.8642,50.7755,51.6868
2019-11-11,51.2500,51.3600,51.1600,51.2900,51.2900,1133400,0.0000,1.0000,58.4354,50.3270,50.9532,49.8541,50.7330,51.6119
2019-11-08,51.3800,51.6900,51.3100,51.5300,51.5300,1537500,0.0000,1.0000,61.7757,50.2918,50.8971,49.6929,50.6510,51.6091
2019-11-07,51.2800,51.7500,51.2000,51.3900,51.3900,1976200,0.0000,1.0000,60.5543,50.2530,50.7916,49.6186,50.5625,51.5064
2019-11-06,51.2500,51.2700,50.8400,51.0700,51.0700,2288300,0.0000,1.0000,57.6847,50.2018,50.6919,49.4092,50.4520,51.4948
2019-11-05,51.2700,51.3700,51.1500,51.2500,51.2500,1886900,0.0000,1.0000,59.9632,50.1546,50.6289,49.1411,50.3435,51.5459
2019-11-04,51.1200,51.3150,51.0300,51.2300,51.2300,4650500,0.0000,1.0000,59.7994,50.1020,50.5254,48.8652,50.2115,51.5578
2019-11-01,50.9100,50.9600,50.5600,50.9500,50.9500,3450700,0.0000,1.0000,57.5407,50.0354,50.4079,48.8165,50.1205,51.4245
2019-10-31,50.8400,50.8400,50.1700,50.6200,50.6200,4059900,0.0000,1.0000,54.7588,50.0014,50.3176,48.7628,50.0435,51.3242
2019-10-30,50.4500,50.6100,50.0950,50.4700,50.4700,3900600,0.0000,1.0000,53.4722,49.9762,50.2672,48.5813,49.9500,51.3187
2019-10-29,50.6900,50.7700,50.2400,50.3300,50.3300,1788600,0.0000,1.0000,52.2964,49.9502,50.2334,48.3144,49.8405,51.3666
2019-10-28,50.5800,50.9400,50.5400,50.7900,50.7900,2882900,0.0000,1.0000,56.6654,49.9336,50.2173,48.2262,49.7750,51.3238
2019-10-25,50.0000,50.5800,49.9000,50.3200,50.3200,1210800,0.0000,1.0000,52.9349,49.8926,50.1218,48.2318,49.7115,51.1912
2019-10-24,50.2400,50.2500,49.7600,49.9300,49.9300,2444800,0.0000,1.0000,49.5913,49.8486,50.0888,48.1950,49.6590,51.1230
2019-10-23,50.1000,50.5500,50.1000,50.5000,50.5000,1958500,0.0000,1.0000,54.8828,49.8108,50.1153,48.1930,49.6540,51.1150
2019-10-22,50.6800,50.7300,50.0850,50.1100,50.1100,2433600,0.0000,1.0000,51.6018,49.7970,50.0512,48.2029,49.6450,51.0871
2019-10-21,50.5100,50.7130,50.4530,50.6000,50.6000,1425400,0.0000,1.0000,56.3857,49.7762,50.0414,48.1996,49.6270,51.0544
2019-10-18,50.7600,50.9150,50.0200,50.3000,50.3000,1958200,0.0000,1.0000,53.9591,49.7566,49.9483,48.2069,49.6225,51.0381
2019-10-17,50.9900,51.0100,50.7000,50.8900,50.8900,2037200,0.0000,1.0000,60.0617,49.7542,49.8896,48.1797,49.6420,51.1043
2019-10-16,50.3800,50.6500,50.3500,50.5900,50.5900,2285200,0.0000,1.0000,57.8087,49.7202,49.7229,48.1461,49.6545,51.1629
2019-10-15,49.7300,50.6100,49.6600,50.5000,50.5000,2105200,0.0000,1.0000,57.1351,49.6910,49.5784,48.0953,49.6795,51.2637
2019-10-14,49.7100,49.7750,49.5300,49.6500,49.6500,1246200,0.0000,1.0000,50.1562,49.6496,49.4248,48.0377,49.7120,51.3863
2019-10-11,49.6500,50.2000,49.6400,49.7600,49.7600,4104900,0.0000,1.0000,51.1570,49.6576,49.3873,48.0049,49.7845,51.5641
2019-10-10,48.8400,49.3700,48.7800,49.1800,49.1800,3093400,0.0000,1.0000,45.8682,49.6732,49.3252,47.9645,49.8610,51.7575
2019-10-09,48.9100,49.0800,48.7450,48.9000,48.9000,4070600,0.0000,1.0000,43.1065,49.7052,49.3493,47.9919,49.9710,51.9501
2019-10-08,49.0800,49.2100,48.6100,48.6100,48.6100,2431400,0.0000,1.0000,40.1710,49.7510,49.4242,48.1000,50.0875,52.0750
2019-10-07,49.2800,49.7300,49.1400,49.4100,49.4100,1365500,0.0000,1.0000,46.2890,49.8074,49.5599,48.3048,50.2050,52.1052
2019-10-04,48.9300,49.4800,48.8400,49.4100,49.4100,1920200,0.0000,1.0000,46.2890,49.8536,49.5849,48.3932,50.2790,52.1648
2019-10-03,48.3200,48.7900,47.7200,48.7500,48.7500,6945800,0.0000,1.0000,39.7631,49.8710,49.6141,48.4934,50.3450,52.1966
2019-10-02,48.6400,48.6900,48.0700,48.2800,48.2800,4405500,0.0000,1.0000,34.5007,49.9042,49.7581,48.7392,50.4495,52.1598
2019-10-01,49.6500,49.7900,48.9400,49.0200,49.0200,2758700,0.0000,1.0000,39.5525,49.9380,50.0045,49.1220,50.5350,51.9480
2019-09-30,49.3700,49.6050,49.2760,49.5200,49.5200,2466600,0.0000,1.0000,43.5537,49.9532,50.1685,49.1273,50.5360,51.9447
2019-09-27,49.9200,49.9300,48.8900,49.2700,49.2700,1852900,0.0000,1.0000,40.7718,49.9546,50.2766,49.1292,50.5365,51.9438
2019-09-26,50.2100,50.2100,49.4750,49.8300,49.8300,1793800,0.0000,1.0000,45.4287,49.9740,50.4444,49.1968,50.5525,51.9082
2019-09-25,49.7200,50.4100,49.3800,50.3200,50.3200,2181200,0.0000,1.0000,50.0757,49.9904,50.5468,48.9804,50.5025,52.0246
2019-09-24,50.6900,50.7000,49.4800,49.7500,49.7500,5371100,0.0000,1.0000,43.8741,50.0066,50.5846,48.7112,50.4220,52.1328
2019-09-23,50.5200,50.6500,50.2600,50.5100,50.5100,2177300,0.0000,1.0000,51.8482,50.0366,50.7237,48.5018,50.3655,52.2292
2019-09-20,51.1200,51.1200,50.4100,50.6900,50.6900,6357900,0.1190,1.0000,54.0069,50.0512,50.7593,48.0863,50.2350,52.3837
2019-09-19,51.1900,51.4400,50.9900,51.1400,51.0210,2357900,0.0000,1.0000,59.7855,50.0548,50.7708,47.9839,50.1630,52.3421
2019-09-18,51.0700,51.1500,50.5400,51.0900,50.9711,1741500,0.0000,1.0000,59.3366,50.0488,50.7093,47.9165,50.0740,52.2315
2019-09-17,51.0900,51.1600,50.8100,51.1500,51.0310,4556200,0.0000,1.0000,60.0839,50.0324,50.6459,47.8391,49.9780,52.1169
2019-09-16,50.9900,51.2300,50.9000,51.1000,50.9811,2527600,0.0000,1.0000,59.6910,50.0086,50.5618,47.8173,49.8955,51.9737
